This design was downloaded from: http://web.maths.unsw.edu.au/~rsw/Sphere/Energy/index.html
                            Catesian Coordinates               		|     Weights
	x		|	y		|	z	    	|	w 
0.00000000000000E+00	0.00000000000000E+00	1.00000000000000E+00	1.60355212779977E-01
7.17114992322544E-01	0.00000000000000E+00	-6.96954867825913E-01	1.53196179235096E-01
-3.98253769988487E-01	-3.34695812616474E-01	-8.54033165460776E-01	1.44938496918083E-01
3.85934524160175E-01	-1.92721379381537E-01	-9.02171276970474E-01	1.56590630046013E-01
-9.03541504998217E-01	1.47349629449282E-01	-4.02369028935770E-01	1.60511652096556E-01
6.47180873994847E-01	-7.62244501022021E-01	-1.18421702806154E-02	1.58237155782800E-01
3.25736030348451E-01	-9.21090988845161E-01	2.13277820696561E-01	1.54101808907190E-01
-3.37326452277511E-01	-2.80406576126441E-01	8.98656228298070E-01	1.55550188071953E-01
-3.78853432568732E-01	4.46558632766582E-02	-9.24378672680144E-01	1.62692552285838E-01
-7.12611522825776E-01	-9.83911714085157E-02	-6.94625075076323E-01	1.53709803124185E-01
1.39430441451947E-01	9.89332687762481E-01	4.21898675179151E-02	1.53308902845270E-01
5.11455552290680E-01	-7.30993068301886E-01	-4.51732611315176E-01	1.56590630046013E-01
3.35242606971908E-01	8.46449505564045E-01	4.13685422756303E-01	1.57218113897521E-01
-6.43191909996955E-02	-9.80278986000398E-01	1.86858639819448E-01	1.53143136546964E-01
3.29801733990595E-01	2.43064846281892E-01	9.12222723219914E-01	1.55422799227466E-01
3.00245126138891E-01	-9.37159986101342E-01	-1.77718948568724E-01	1.52639799032601E-01
-7.84825557051153E-01	4.93248117060913E-01	3.75173479893248E-01	1.51981039686229E-01
9.89849004887183E-01	1.39427982695983E-01	2.75460553470241E-02	1.59185792266471E-01
-3.10547880442709E-01	9.47285893294484E-01	7.88000654683143E-02	1.55550188071954E-01
5.27008508320948E-01	8.49696973327842E-01	1.66458906290100E-02	1.57778755518432E-01
-1.01932803579136E-01	-9.72946649033170E-01	-2.07327088653707E-01	1.52512588371578E-01
-1.49660415303625E-01	7.09353995572092E-01	6.88780566695267E-01	1.44383761747759E-01
-1.72236698842042E-01	-6.46514096698856E-01	-7.43205249134892E-01	1.58826926819167E-01
1.13437393108096E-01	4.69034690329132E-01	-8.75864382831436E-01	1.54101808907192E-01
8.96757877353478E-01	2.82584849300435E-01	-3.40545316147990E-01	1.56246128198025E-01
-3.80274996667647E-01	-8.14218429156253E-01	-4.38679013096982E-01	1.56246128198025E-01
-5.74223727401671E-01	-5.41785015321175E-01	6.13788325127127E-01	1.53308902845270E-01
-1.07615337095018E-01	9.50182427952086E-01	-2.92527422360712E-01	1.58604557597136E-01
6.65656150198675E-01	6.70899360228059E-01	-3.26796478176033E-01	1.57723445819343E-01
5.86528988460508E-01	4.53839934191480E-01	6.70830127400793E-01	1.48752694144647E-01
-1.89602843547606E-01	-6.44245539659773E-01	7.40944293686879E-01	1.58604557597136E-01
9.87172652318619E-02	-8.39764181669621E-01	-5.33901695754839E-01	1.53196179235096E-01
-4.49721603085005E-01	-8.93168210928679E-01	1.01326458329272E-03	1.57723445819343E-01
-5.53804982407935E-02	9.20260993854538E-01	3.87366368705980E-01	1.54504348494823E-01
1.00996232381478E-01	-8.28951163766293E-01	5.50127011821137E-01	1.59128377257643E-01
-9.12363104200674E-01	-4.08971469297832E-01	1.83276674369962E-02	1.52322527236074E-01
-4.88555741526794E-01	8.30027400999144E-01	-2.69012640988875E-01	1.43556067513012E-01
-6.95941898397820E-01	7.16356914532353E-01	4.99764450128693E-02	1.60355212779978E-01
8.13934468805823E-01	-5.14075858886575E-01	-2.70622785071418E-01	1.56046956386381E-01
6.56894845596164E-01	-3.96364031192209E-01	-6.41392794320494E-01	1.56208160294364E-01
8.49740677179248E-01	5.27181174275768E-01	4.55971887013287E-03	1.53171502327044E-01
9.14032859205808E-01	-1.08938732686008E-01	3.90738128178989E-01	1.53709803124186E-01
5.63029330785048E-02	-3.85094729362575E-01	9.21157982728219E-01	1.43556067513012E-01
6.96816066514615E-01	6.54399692347387E-02	7.14258342529966E-01	1.60511652096555E-01
-4.80250922229459E-01	4.94338779776907E-01	7.24560710021204E-01	1.63559024164756E-01
3.43825980385170E-01	-5.68898816057960E-01	7.47086228155778E-01	1.60772145769596E-01
-9.42043418690980E-01	9.15625080007939E-02	3.22754557565985E-01	1.64349026621999E-01
3.70056665893564E-01	6.65572895339531E-01	-6.48128679366290E-01	1.53143136546964E-01
6.72936626369799E-01	6.55421371669187E-01	3.42898122551458E-01	1.52322527236072E-01
4.06910612319383E-01	2.09260280591376E-01	-8.89175960397424E-01	1.52639799032599E-01
2.15172438530120E-02	7.39305461388851E-02	-9.97031234497985E-01	1.58237155782800E-01
-2.68806774219678E-01	4.16903756057013E-01	-8.68293830635208E-01	1.45767661280421E-01
6.61168672935436E-01	3.97305948580761E-01	-6.36399221519900E-01	1.52512588371578E-01
-9.98321817871909E-01	-2.99674221573283E-02	-4.95530177705766E-02	1.48752694144644E-01
4.07570078775121E-01	-1.60749701247308E-01	8.98913880433572E-01	1.56580336585136E-01
9.16988197779656E-01	-1.20084217184138E-01	-3.80410864613631E-01	1.58826926819166E-01
5.51141680180705E-01	-7.07520778203024E-01	4.42331546216833E-01	1.45767661280421E-01
-4.79003106548153E-01	7.74573974291692E-01	4.13026854171966E-01	1.57082660899565E-01
-4.36678900253573E-02	7.69941130687349E-01	-6.36619015311841E-01	1.59128377257643E-01
